Titel,Datum,Ort,Link,Kategorie,Adresse,lat,lon,Datum/Uhrzeit
Neurostimulation & Neurofeedback - Kostenloser Infotag für Fachpersonal,Samstag um 10:00,AMERON Köln Hotel Regent,https://www.eventbrite.com/e/neurostimulation-neurofeedback-kostenloser-infotag-fur-fachpersonal-tickets-1088440909059?aff=ebdssbcitybrowse,health,Melatengürtel 15 50933 Köln,50.938696500000006,6.909031224037999,
fi = altshift5 w/ Ross From Friends & Nonchalance,Samstag um 23:00,fi,https://www.eventbrite.de/e/fi-altshift5-w-ross-from-friends-nonchalance-tickets-1111628573989?aff=ebdssbcitybrowse,music,Widdersdorfer Straße 246 50825 Köln,50.9482294,6.892987255703424,
Tag der offenen Tür bei Kieser Köln-Neustadt Nord,Samstag um 10:00,Kieser,https://www.eventbrite.com/e/tag-der-offenen-tur-bei-kieser-koln-neustadt-nord-tickets-1109137342649?aff=ebdssbcitybrowse,sports-and-fitness,Neusser Straße 27-29 50670 Köln,50.952432,6.9562890193922655,
Stand Up Sunday | open mic night in English,"Sun, Jan 19, 8:00 PM",James Joyce Irish Pub,https://www.eventbrite.com/e/stand-up-sunday-open-mic-night-in-english-tickets-727518355987?aff=ebdssbcitybrowse,arts,Bonner Straße 39 50677 Köln,50.91861765,6.960597208805964,
"Mobb Deep (Havoc, Big Noyd, DJ.L.E.S.) Live in Cologne","Sun, Jan 19, 7:00 PM",Reineke Fuchs,https://www.eventbrite.com/e/mobb-deep-havoc-big-noyd-djles-live-in-cologne-tickets-1085499110059?aff=ebdssbcitybrowse,music,Aachener Straße 50 50674 Köln,50.9366693,6.934992407112608,
Frauenmagie pur,"Sun, Jan 19, 1:00 PM","Körper, Geist Und Seele",https://www.eventbrite.de/e/frauenmagie-pur-tickets-1015923052197?aff=ebdssbcitybrowse,health,Heinrich-Brüning-Straße 8 50969 Köln,50.91490935,6.945114386241448,
How To Make This Year Happier - Prof. Cassie Holmes,morgen um 19:00 GMT,Köln,https://www.eventbrite.co.uk/e/how-to-make-this-year-happier-prof-cassie-holmes-tickets-1092369599879?aff=ebdssbcitybrowse,health,Köln,50.938361,6.959974,
Your 2025 Playbook: Opportunities Investors Need To Know,morgen um 17:00 GMT,Köln,https://www.eventbrite.co.uk/e/your-2025-playbook-opportunities-investors-need-to-know-tickets-1097336375639?aff=ebdssbcitybrowse,business,Köln,50.938361,6.959974,
WORK FOR YOURSELF@50+ Freelance: Crafting Your Irresistible Offer,Donnerstag um 18:00 EST,Köln,https://www.eventbrite.com/e/work-for-yourself50-freelance-crafting-your-irresistible-offer-tickets-907750705797?aff=ebdssbcitybrowse,business,Köln,50.938361,6.959974,
Virtual Information Session about Federal Resumes and Application Tips,"Thu, Jan 23, 4:00 PM EST",Köln,https://www.eventbrite.com/e/virtual-information-session-about-federal-resumes-and-application-tips-tickets-1110573829219?aff=ebdssbcitybrowse,government,Köln,50.938361,6.959974,
